"Kuwait","Saudi.Arabia","Iraq"
1.78407199490066e-16,1.78407199490066e-16,0.000172159495009128
-8.44227311930632e-16,-8.44227311930632e-16,0.000164936019693044
-3.5322679371748e-16,-3.5322679371748e-16,0.000150489069063416
-3.58365580570943e-16,-3.58365580570943e-16,0.00012881864311823
-3.06874066340788e-16,-3.06874066340788e-16,9.99247418580395e-05
2.31345878555424e-17,2.31345878555424e-17,6.38073652830656e-05
-5.48451046312263e-16,-5.48451046312263e-16,2.04665133921284e-05
9.95755995542836e-17,9.95755995542836e-17,-3.00978138126509e-05
7.55072619211193e-17,7.55072619211193e-17,-8.78856163331641e-05
9.82656199556513e-16,9.82656199556513e-16,-0.000152896894167808
-5.63517342813909e-16,-5.63517342813909e-16,-0.000225131647319967
-4.35929967078514e-16,-4.35929967078514e-16,-0.000304589875785513
-3.32760558402535e-16,-3.32760558402535e-16,-0.000391271579566146
-2.01073659217728e-16,-2.01073659217728e-16,-0.000441532823891095
-1.20259090614322e-16,-1.20259090614322e-16,-0.000455373608760421
-3.56537441947083e-16,-3.56537441947083e-16,-0.000432793934174409
-4.637512920438e-16,-4.637512920438e-16,-0.000373793800132613
1.39207692272248e-16,1.39207692272248e-16,-0.000278373206634453
-2.01690409513395e-16,-2.01690409513395e-16,-0.000146532153681582
-1.04770631879301e-15,-1.04770631879301e-15,2.17293587264381e-05
-8.20005958914097e-16,-8.20005958914097e-16,0.000226411330591187
-4.22955802774746e-16,-4.22955802774746e-16,0.000467513761911759
1.0006631064437e-15,1.0006631064437e-15,0.000745036652689012
4.70440580087866e-16,4.70440580087866e-16,0.00105898000291997
-1.18343945483753e-16,-1.18343945483753e-16,0.00140934381260652
1.26175712888738e-15,1.26175712888738e-15,0.0016197211286215
-2.85279881951699e-16,-2.85279881951699e-16,0.00169011195096003
9.685907783038e-17,9.685907783038e-17,0.00162051627962695
-2.636886941972e-16,-2.636886941972e-16,0.0014109341146196
2.21169726361738e-16,2.21169726361738e-16,0.00106136545593955
-7.81389333750541e-17,-7.81389333750541e-17,0.000571810303585184
-3.0398274659263e-16,-3.0398274659263e-16,-5.77313424426468e-05
-4.51309506824634e-16,-4.51309506824634e-16,-0.000827259482143936
-1.01042681328996e-16,-1.01042681328996e-16,-0.00173677411551826
3.41193129862662e-16,3.41193129862662e-16,-0.00278627524256604
2.20879918501969e-16,2.20879918501969e-16,-0.00397576286328791
5.19093434133494e-16,5.19093434133494e-16,-0.0053052369776829
-9.9400426556114e-17,-9.9400426556114e-17,-0.0061053120176652
3.02478722557466e-17,3.02478722557466e-17,-0.00637598798323317
6.90643763140644e-17,6.90643763140644e-17,-0.00611726487438761
2.27503593882224e-17,2.27503593882224e-17,-0.00532914269112854
-2.02942950118178e-16,-2.02942950118178e-16,-0.00401162143345605
-3.6893718330859e-16,-3.6893718330859e-16,-0.00216470110136989
4.20907924404067e-16,4.20907924404067e-16,0.000211618305130821
4.36839905470258e-16,4.36839905470258e-16,0.00311733678604437
-1.04822630128306e-15,-1.04822630128306e-15,0.00655245434137002
-6.0074197196402e-16,-6.0074197196402e-16,0.0105169709711112
-5.46789258002878e-16,-5.46789258002878e-16,0.0150108866752656
-5.19150132083773e-16,-5.19150132083773e-16,0.0200342014538336
-5.41064799139903e-16,-5.41064799139903e-16,0.0230576938798438
7.18265667064315e-16,7.18265667064315e-16,0.0240813639532977
-4.91790122582951e-16,-4.91790122582951e-16,0.0231052116741915
-8.55612043850332e-16,-8.55612043850332e-16,0.0201292370425284
-6.16073490621963e-16,-6.16073490621963e-16,0.0151534400583083
-3.54894076187052e-16,-3.54894076187052e-16,0.00817782072153046
1.20483631497974e-16,1.20483631497974e-16,-0.00079762096780485
7.73504762256053e-16,7.73504762256053e-16,-0.0117728850096977
-3.50404937595615e-16,-3.50404937595615e-16,-0.0247479714041499
-2.29406348597466e-16,-2.29406348597466e-16,-0.0397228801511587
1.041889320285e-15,1.041889320285e-15,-0.056697611250724
-8.0786124161994e-16,-8.0786124161994e-16,-0.07567216470285
-5.0054619756721e-16,-5.0054619756721e-16,-0.0870929191889796
-2.97081306996541e-16,-2.97081306996541e-16,-0.0909598747091149
2.49688921224676e-16,2.49688921224676e-16,-0.0872730312632554
-5.94139093968322e-17,-5.94139093968322e-17,-0.0760323888514025
-2.48464464921748e-16,-2.48464464921748e-16,-0.0572379474735551
-2.16938601204862e-16,-2.16938601204862e-16,-0.030889707129713
2.90750600635615e-16,2.90750600635615e-16,0.00301233218012384
3.91967813856908e-16,3.91967813856908e-16,0.0444681704559546
5.54308801547242e-16,5.54308801547242e-16,0.0934778076977799
-1.65000441078845e-16,-1.65000441078845e-16,0.150041243905599
-4.43068028337524e-16,-4.43068028337524e-16,0.214158479079412
2.32126355478115e-16,2.32126355478115e-16,0.285829513219221
-3.28181826489371e-16,-3.28181826489371e-16,0.349947252212672
-8.5463084787187e-16,-8.5463084787187e-16,0.406511696059766
-4.81717310085547e-16,-4.81717310085547e-16,0.455522844760505
6.03453419637141e-16,6.03453419637141e-16,0.496980698314888
-4.47431927682252e-16,-4.47431927682252e-16,0.530885256722912
