,000001.SS,^FTSE,^GSPC,Kilian
0,,4275.7998046875,786.1599731445312,-3.791781
1,,4308.2998046875,790.8200073242188,-5.469825
2,,4312.89990234375,757.1199951171875,-3.0276019
3,,4436.0,801.3400268554688,-9.3097174
4,,4621.2998046875,848.280029296875,-16.743878
5,,4604.60009765625,885.1400146484375,-17.235202
6,1189.760009765625,4907.5,954.3099975585938,-12.064301
7,1221.06396484375,4817.5,899.469970703125,-15.640172
8,1097.383056640625,5244.2001953125,947.280029296875,-15.490711
9,1180.3929443359375,4842.2998046875,914.6199951171875,-13.449949
10,1139.6280517578125,4831.7998046875,955.4000244140625,-20.204211
11,1194.10205078125,5135.5,970.4299926757812,-20.261509
12,1222.9129638671875,5458.5,980.280029296875,-26.829225
13,1206.530029296875,5767.2998046875,1049.3399658203125,-42.670828
14,1243.0159912109375,5932.2001953125,1101.75,-35.63905
15,1343.447998046875,5928.39990234375,1111.75,-42.563108
16,1411.208984375,5870.7001953125,1090.8199462890625,-42.94842
17,1339.2020263671875,5832.60009765625,1133.8399658203125,-51.856668
18,1316.9189453125,5837.10009765625,1120.6700439453125,-58.501127
19,1150.2230224609375,5249.39990234375,957.280029296875,-63.461358
20,1242.89599609375,5064.39990234375,1017.010009765625,-54.613353
21,1217.3160400390625,5438.39990234375,1098.6700439453125,-42.607718
22,1247.4169921875,5743.89990234375,1163.6300048828125,-45.136814
23,1146.699951171875,5882.60009765625,1229.22998046875,-57.336314
24,1134.6729736328125,5896.0,1279.6400146484375,-62.922739
25,1090.0870361328125,6175.10009765625,1238.3299560546875,-58.729012
26,1158.053955078125,6295.2998046875,1286.3699951171875,-44.066384
27,1120.927001953125,6552.2001953125,1335.1800537109375,-49.113947
28,1279.3260498046875,6226.2001953125,1301.8399658203125,-34.994038
29,1689.427978515625,6318.5,1372.7099609375,-42.043305
30,1601.458984375,6231.89990234375,1328.719970703125,-43.518536
31,1627.115966796875,6246.39990234375,1320.4100341796875,-36.767664
32,1570.7020263671875,6029.7998046875,1282.7099609375,-27.888937
33,1504.56298828125,6255.7001953125,1362.9300537109375,-12.336679
34,1434.9730224609375,6597.2001953125,1388.9100341796875,-12.72276
35,1366.5799560546875,6930.2001953125,1469.25,-12.121274
36,1534.9969482421875,6268.5,1394.4599609375,-10.187259
37,1714.5780029296875,6232.60009765625,1366.4200439453125,-8.8416065
38,1800.2249755859375,6540.2001953125,1498.5799560546875,5.8348644
39,1836.321044921875,6327.39990234375,1452.4300537109375,8.9196439
40,1894.553955078125,6359.39990234375,1420.5999755859375,4.9333185
41,1928.10595703125,6312.7001953125,1454.5999755859375,3.702447
42,2023.5389404296875,6365.2998046875,1430.8299560546875,5.3874382
43,2021.198974609375,6672.7001953125,1517.6800537109375,6.8433238
44,1910.1610107421875,6294.2001953125,1436.510009765625,10.847477
45,1961.2869873046875,6438.39990234375,1429.4000244140625,12.118013
46,2070.613037109375,6142.2001953125,1314.949951171875,11.417539
47,2073.47705078125,6222.5,1320.280029296875,4.5671646
48,2065.60595703125,6297.5,1366.010009765625,1.4535712
49,1959.1800537109375,5917.89990234375,1239.93994140625,-4.3234641
50,2112.77490234375,5633.7001953125,1160.3299560546875,-2.6707918
51,2119.18408203125,5967.0,1249.4599609375,-6.9595797
52,2214.257080078125,5796.2001953125,1255.8199462890625,-6.6786626
53,2218.029052734375,5642.5,1224.3800048828125,-11.765285
54,1920.3179931640625,5529.10009765625,1211.22998046875,-24.606909
55,1834.137939453125,5345.0,1133.5799560546875,-45.274636
56,1764.866943359375,4903.39990234375,1040.93994140625,-49.138875
57,1689.1700439453125,5039.7001953125,1059.780029296875,-53.792888
58,1747.9930419921875,5203.60009765625,1139.449951171875,-58.477088
59,1645.970947265625,5217.39990234375,1148.0799560546875,-56.515222
60,1491.6650390625,5164.7998046875,1130.199951171875,-49.741245
61,1524.7010498046875,5101.0,1106.72998046875,-46.676188
62,1603.905029296875,5271.7998046875,1147.3900146484375,-36.410676
63,1667.7490234375,5165.60009765625,1076.9200439453125,-35.571057
64,1515.7330322265625,5085.10009765625,1067.1400146484375,-39.687423
65,1732.7550048828125,4656.39990234375,989.8200073242188,-43.324754
66,1651.593994140625,4246.2001953125,911.6199951171875,-44.08689
67,1666.6180419921875,4227.2998046875,916.0700073242188,-42.790887
68,1581.6180419921875,3721.800048828125,815.280029296875,-26.269625
69,1507.4959716796875,4039.699951171875,885.760009765625,-11.929631
70,1434.1820068359375,4169.39990234375,936.3099975585938,-5.2005186
71,1357.654052734375,3940.39990234375,879.8200073242188,7.9995769
72,1499.81494140625,3567.39990234375,855.7000122070312,9.3935409
73,1511.9320068359375,3655.60009765625,841.1500244140625,7.8260649
74,1510.5780029296875,3613.300048828125,848.1799926757812,17.826104
75,1521.4439697265625,3926.0,916.9199829101562,29.31983
76,1576.260986328125,4048.10009765625,963.5900268554688,37.430464
77,1486.0240478515625,4031.199951171875,974.5,33.136012
78,1476.741943359375,4157.0,990.3099975585938,35.56314
79,1421.9830322265625,4161.10009765625,1008.010009765625,39.49385
80,1367.1610107421875,4091.300048828125,995.969970703125,46.793168
81,1348.302978515625,4287.60009765625,1050.7099609375,99.553198
82,1397.2249755859375,4342.60009765625,1058.199951171875,101.73377
83,1497.0439453125,4476.89990234375,1111.9200439453125,109.73939
84,1590.72900390625,4390.7001953125,1131.1300048828125,122.09631
85,1675.0670166015625,4492.2001953125,1144.93994140625,126.18772
86,1741.623046875,4385.7001953125,1126.2099609375,120.10854
87,1595.5870361328125,4489.7001953125,1107.300048828125,106.7476
