,Algeria,Iran,Nigeria,Kuwait,Saudi Arabia,Venezuela,United Arab Emirates
0,0.49990615796683785,0.8187845303867404,0.8726011560693642,0.5899326707277974,0.6783110055960658,0.9014836795252226,0.6276205957917503
1,0.4882124466693679,0.8176795580110497,0.8734489402697495,0.5899326707277974,0.6783110055960658,0.9109792284866469,0.6302881872748349
2,0.49698273014247035,0.7624309392265194,0.8503660886319845,0.5867265149086246,0.6740715618110904,0.916320474777448,0.6277550290318403
3,0.4940593023181029,0.8298342541436464,0.882466281310212,0.5835203590894518,0.669832118026115,0.927893175074184,0.628792466090049
4,0.49698273014247035,0.7690607734806629,0.8764161849710983,0.5706957358127605,0.6770391724605732,0.9367952522255193,0.5834850730709362
5,0.4911358744937354,0.8,0.882466281310212,0.5819172811798653,0.6681363405121248,0.9456973293768546,0.6166973500348101
6,0.49698273014247035,0.8033149171270718,0.8747591522157996,0.5851234369990381,0.6783110055960658,0.9474777448071217,0.6150182667549825
7,0.49698273014247035,0.8077348066298342,0.8759152215799615,0.5787111253606926,0.6846701712735289,0.9540059347181009,0.6140329074384303
8,0.4882124466693679,0.7281767955801105,0.8832369942196532,0.5931388265469701,0.6914532813294896,0.9605341246290802,0.6157284618179447
9,0.5057530136155728,0.8320441988950277,0.8909441233140655,0.5899326707277974,0.7037476683059183,0.9682492581602374,0.6236006785799759
10,0.49990615796683785,0.7721546961325967,0.902504816955684,0.5995511381853158,0.7079871120908937,0.9762611275964391,0.6096729104625361
11,0.5028295857912053,0.8048618784530387,0.8870905587668594,0.6155819172811798,0.7122265558758691,0.9842729970326409,0.6181506823601082
12,0.5086764414399403,0.7940331491712708,0.8597302504816956,0.6252003847386983,0.7211293878243175,0.9908011869436202,0.6665950932033768
13,0.5086764414399403,0.7944751381215469,0.8709055876685935,0.6219942289195255,0.7156181109038494,0.9973293768545994,0.6622350962274827
14,0.5057530136155728,0.7862983425414365,0.8982658959537573,0.6187880731003527,0.7079871120908937,1.0,0.6595706536311029
15,0.47651873537189804,0.8510497237569061,0.841233140655106,0.5819172811798653,0.691029336950992,0.9495548961424333,0.627500453652859
16,0.47944216319626554,0.8028729281767956,0.8473988439306358,0.5787111253606926,0.6952687807359674,0.9406528189910979,0.6185866820576976
17,0.47944216319626554,0.8457458563535911,0.8458574181117534,0.5803142032702789,0.691029336950992,0.9406528189910979,0.6273551204203293
18,0.46190159625006066,0.7971270718232044,0.8219653179190751,0.5642834241744149,0.6740715618110904,0.8961424332344213,0.6091884663541035
19,0.4677484518987956,0.7531491712707182,0.7325626204238921,0.5694132734850914,0.6655926742411395,0.8753709198813057,0.5755196008180318
20,0.46190159625006066,0.8205524861878453,0.7730250481695569,0.5488938762423854,0.648634899101238,0.8679525222551929,0.588357369691498
21,0.46190159625006066,0.7809944751381216,0.7117533718689788,0.5562680346264829,0.6804307274885535,0.8753709198813057,0.5864195932577672
22,0.4735953075475306,0.8028729281767956,0.7921761078998074,0.5610772683552421,0.6655926742411395,0.8887240356083086,0.5864195932577672
23,0.47944216319626554,0.8002209944751382,0.7889653179190751,0.5642834241744149,0.6783110055960658,0.8902077151335311,0.5944129210469065
24,0.4852890188450005,0.8161325966850829,0.7533718689788054,0.600833600512985,0.6655926742411395,0.8813056379821959,0.5900529240710123
25,0.4735953075475306,0.8704972375690607,0.7599229287090559,0.5456877204232126,0.6664405629981347,0.8679525222551929,0.5919907005047431
26,0.47944216319626554,0.8437569060773481,0.7753371868978806,0.5335043283103559,0.6694081736476174,0.8560830860534124,0.5755196008180318
27,0.4209736067089161,0.7697237569060773,0.7445086705202312,0.5649246553382494,0.6316771239613362,0.8160237388724035,0.5534773938843445
28,0.43266731800638597,0.7573480662983425,0.784971098265896,0.5456877204232126,0.6147193488214346,0.8130563798219584,0.5437885117156908
29,0.42682046235765103,0.7712707182320442,0.7645472061657033,0.5081756973388907,0.6231982363913855,0.8100890207715133,0.5525085056674791
30,0.43266731800638597,0.7381215469613259,0.7263969171483622,0.5065726194293043,0.6316771239613362,0.8086053412462908,0.5462107322578542
31,0.43266731800638597,0.7093922651933702,0.7086705202312139,0.5065726194293043,0.6274376801763608,0.8100890207715133,0.5479062866373686
32,0.4297438901820185,0.7116022099447514,0.7252408477842004,0.509778775248477,0.6274376801763608,0.8100890207715133,0.5462107322578542
33,0.42682046235765103,0.7690607734806629,0.7495183044315993,0.5129849310676499,0.6274376801763608,0.8100890207715133,0.5440307337699071
34,0.42682046235765103,0.7801104972375691,0.7491329479768786,0.5129849310676499,0.6274376801763608,0.8100890207715133,0.54185073528196
35,0.44436102930385585,0.7447513812154696,0.7572254335260116,0.5129849310676499,0.6401560115312871,0.8249258160237388,0.5466951763662868
36,0.4677484518987956,0.7491712707182321,0.7421965317919075,0.5129849310676499,0.633796845853824,0.827893175074184,0.5004307640109653
37,0.44436102930385585,0.7712707182320442,0.761849710982659,0.5226033985251684,0.6380362896387994,0.8308605341246291,0.5125418667217825
38,0.4297438901820185,0.8419889502762431,0.7556840077071291,0.509778775248477,0.6401560115312871,0.8308605341246291,0.5374907383060659
39,0.4560547406013257,0.7933701657458564,0.7741811175337187,0.5354280218018596,0.654994064778701,0.8456973293768546,0.5701907156252722
40,0.46482502407442816,0.8066298342541437,0.7684007707129095,0.5626803462648284,0.6677123961336273,0.8531157270029673,0.5331307413301717
41,0.4735953075475306,0.8044198895027624,0.7772639691714837,0.5610772683552421,0.6740715618110904,0.8531157270029673,0.5251374135410323
