"China","India","Japan","United.States"
293.334145186791,148.175521980549,474.875035668707,1548.34914806032
293.741453780353,148.13319238696,474.658466497293,1548.48946544221
294.556070967475,148.048533199781,474.225328154464,1548.770100206
295.777996748159,147.921544419012,473.575620640221,1549.19105235168
297.407231122403,147.752226044654,472.709343954564,1549.75232187925
299.443774090209,147.540578076707,471.626498097492,1550.45390878871
301.887625651577,147.28660051517,470.327083069007,1551.29581308007
304.738785806505,146.990293360044,468.811098869107,1552.27803475332
307.997254554995,146.651656611328,467.078545497793,1553.40057380846
311.663031897046,146.270690269023,465.129422955065,1554.6634302455
315.736117832658,145.847394333128,462.963731240922,1556.06660406443
320.216512361831,145.381768803644,460.581470355365,1557.61009526525
325.104215484565,144.87381368057,457.982640298394,1559.29390384797
329.621852202002,144.551310564335,455.816503518274,1561.30820148508
333.76942251414,144.41425945494,454.083060015004,1563.65298817658
337.54692642098,144.462660352384,452.782309788586,1566.32826392248
340.954363922522,144.696513256667,451.914252839019,1569.33402872278
343.991735018766,145.11581816779,451.478889166303,1572.67028257747
346.659039709712,145.720575085752,451.476218770437,1576.33702548655
348.95627799536,146.510784010553,451.906241651423,1580.33425745004
350.883449875709,147.486444942193,452.768957809259,1584.66197846791
352.440555350761,148.647557880673,454.064367243945,1589.32018854018
353.627594420514,149.994122825992,455.792469955484,1594.30888766685
354.444567084969,151.52613977815,457.953265943873,1599.62807584791
354.891473344126,153.243608737147,460.546755209112,1605.27775308337
355.585954801766,154.988083793559,462.7614826736,1610.51866239941
356.528011457888,156.759564947384,464.597448337334,1615.35080379604
357.717643312495,158.558052198623,466.054652200317,1619.77417727327
359.154850365583,160.383545547277,467.133094262547,1623.78878283108
360.839632617155,162.236044993344,467.832774524025,1627.39462046948
362.77199006721,164.115550536826,468.153692984751,1630.59169018848
364.951922715748,166.022062177721,468.095849644725,1633.37999198806
367.379430562769,167.955579916031,467.659244503946,1635.75952586823
370.054513608272,169.916103751754,466.843877562415,1637.73029182899
372.977171852259,171.903633684892,465.649748820132,1639.29228987034
376.147405294729,173.918169715443,464.076858277096,1640.44551999228
379.565213935682,175.959711843409,462.125205933308,1641.18998219481
382.661963354498,177.763766141697,460.320704891934,1641.78616178467
385.437653551177,179.330332610306,458.663355152973,1642.23405876186
387.89228452572,180.659411249237,457.153156716427,1642.53367312638
390.025856278127,181.75100205849,455.790109582293,1642.68500487822
391.838368808397,182.605105038065,454.574213750574,1642.6880540174
393.32982211653,183.221720187962,453.505469221268,1642.54282054391
394.500216202527,183.60084750818,452.583875994375,1642.24930445774
395.349551066387,183.742486998721,451.809434069896,1641.8075057589
395.87782670811,183.646638659583,451.182143447831,1641.2174244474
396.085043127697,183.313302490767,450.702004128179,1640.47906052322
395.971200325148,182.742478492273,450.369016110942,1639.59241398637
395.536298300461,181.9341666641,450.183179396117,1638.55748483685
395.439035975159,181.273176916127,449.896121119842,1637.71232156171
395.67941334924,180.759509248351,449.507841282116,1637.05692416095
396.257430422705,180.393163660774,449.018339882938,1636.59129263457
397.173087195554,180.174140153395,448.42761692231,1636.31542698257
398.426383667787,180.102438726215,447.73567240023,1636.22932720495
400.017319839403,180.178059379233,446.9425063167,1636.33299330171
401.945895710403,180.40100211245,446.048118671718,1636.62642527285
404.212111280787,180.771266925865,445.052509465285,1637.10962311837
406.815966550555,181.288853819478,443.955678697401,1637.78258683828
409.757461519706,181.95376279329,442.757626368066,1638.64531643256
413.036596188241,182.7659938473,441.45835247728,1639.69781190122
416.65337055616,183.725546981508,440.057857025043,1640.94007324426
420.17560102563,184.643634737979,438.938533347446,1642.14032293328
423.603287596649,185.520257116711,438.10038144449,1643.29856096827
426.93643026922,186.355414117705,437.543401316173,1644.41478734923
430.175029043341,187.149105740961,437.267592962497,1645.48900207617
433.319083919012,187.901331986478,437.272956383462,1646.52120514909
436.368594896233,188.612092854257,437.559491579067,1647.51139656797
439.323561975005,189.281388344299,438.127198549313,1648.45957633284
442.183985155328,189.909218456602,438.976077294198,1649.36574444367
444.949864437201,190.495583191166,440.106127813724,1650.22990090048
447.621199820624,191.040482547993,441.517350107891,1651.05204570327
450.197991305598,191.543916527081,443.209744176697,1651.83217885202
452.680238892122,192.005885128431,445.183310020144,1652.57030034675
455.827492746422,192.542519018899,446.833865045727,1653.84717783031
459.639752868498,193.153818198483,448.161409253445,1655.66281130268
464.117019258351,193.839782667185,449.165942643298,1658.01720076388
469.259291915979,194.600412425004,449.847465215287,1660.9103462139
475.066570841383,195.43570747194,450.205976969412,1664.34224765274
481.538856034563,196.345667807994,450.241477905672,1668.31290508041
488.676147495519,197.330293433164,449.953968024068,1672.82231849689
496.478445224252,198.389584347452,449.3434473246,1677.8704879022
504.94574922076,199.523540550857,448.409915807267,1683.45741329633
514.078059485044,200.732162043379,447.15337347207,1689.58309467928
523.875376017105,202.015448825018,445.573820319008,1696.24753205105
534.337698816941,203.373400895775,443.671256348082,1703.45072541165
543.751505216105,204.543373325015,442.011213852345,1710.00463025504
552.116795214596,205.525366112737,440.593692831799,1715.90924658124
559.433568812413,206.319379258943,439.41869328644,1721.16457439023
565.701826009557,206.925412763631,438.486215216271,1725.77061368203
570.921566806027,207.343466626802,437.796258621291,1729.72736445662
575.092791201825,207.573540848456,437.3488235015,1733.03482671401
578.21549919695,207.615635428593,437.143909856899,1735.6930004542
580.289690791402,207.469750367213,437.181517687488,1737.70188567718
581.31536598518,207.135885664316,437.461646993265,1739.06148238297
581.292524778285,206.614041319902,437.984297774232,1739.77179057156
580.221167170718,205.904217333971,438.749470030388,1739.83281024295
