,econ_act.000001.SS,econ_act.^FTSE,econ_act.^GSPC,econ_act.Kilian,econ_uncer_idx.SCMP.China,econ_uncer_idx.France,econ_uncer_idx.Germany,econ_uncer_idx.UK,econ_uncer_idx.US,consumption.China,consumption.India,consumption.Japan,consumption.United.States,production.Algeria,production.Iran,production.Nigeria,production.Kuwait,production.Saudi.Arabia,production.Venezuela,production.United.Arab.Emirates,PoOil.OilComb
224,0.512661865878651,0.7695999705405767,0.40253635828713435,-0.2965235299920422,0.4050494700708439,0.4577357965918264,0.19632602114733236,0.2450891910603459,0.34116108272048434,0.7099099893116784,0.7140968085210667,0.7273411907701482,0.9310186294437389,0.8355156722042237,0.7191160220994475,0.8574181117533719,0.931388265469702,0.8866687457266407,0.7379821958456974,0.7678439118658084,-0.01909328174016367
225,0.5680427283854457,0.8076254402950108,0.4359400803307573,-0.35635732403989273,0.25222539972693564,0.4036204457753168,0.22209264083778843,0.13628070561890557,0.2196626810689977,0.7126758664351815,0.7201139537372189,0.7254097264833608,0.9317119559002993,0.8355156722042237,0.7244198895027625,0.8470134874759152,0.9153574863738376,0.8824293019416652,0.7376854599406528,0.7702661324079718,-0.019669017966662206
226,0.5785962922452713,0.8069906244393441,0.43616017301127324,-0.51934669682829,0.10789642102977964,0.3497464136181143,0.2290977845034269,0.18250372410589052,0.17775838819268616,0.7154792698691896,0.7262803935551212,0.7233867141885049,0.9321766003780874,0.8355156722042237,0.7405524861878453,0.8578034682080925,0.931388265469702,0.8739504143717144,0.7373887240356083,0.7678439118658084,-0.016559074341312763
227,0.5943444961316842,0.792542178368129,0.42851420447449445,-0.5784795306064339,0.15616998637833351,0.35917672259491057,0.15042358003208764,0.14400612473577704,0.20232311653396512,0.7183201996136956,0.7325961279747758,0.7212721538855822,0.9324125628771031,0.8355156722042237,0.748950276243094,0.8319845857418112,0.947419044565566,0.8739504143717144,0.7370919881305638,0.7726883529501352,-0.00860632797933536
228,0.4597326737162883,0.7724185157434952,0.4067733983087874,-0.733550927751013,0.2698125449652603,0.42013680998523345,0.24145647119301283,0.21844141279581333,0.3072789612316257,0.7211986556687137,0.7390611569961827,0.719066045574591,0.9324198433973406,0.7893255125792177,0.8070718232044198,0.8319845857418112,0.9618467457518436,0.8829913515346787,0.7071216617210683,0.7860105659320341,0.0053157731420525045
229,0.4513996676932594,0.7741071631158101,0.4050940911564509,-0.8535353175099468,0.2771022819865662,0.563918978321989,0.21525701874357778,0.2737789634615503,0.29431067301686115,0.724138967629497,0.7453614553435611,0.7169688435952543,0.9325139034312357,0.7893255125792177,0.838011049723757,0.8169556840077071,0.947419044565566,0.8829913515346787,0.7068249258160237,0.7327217140044385,-0.015993873581246376
230,0.504455670390679,0.7839848730324893,0.4318267016849477,-0.7368173273675837,0.3328655567735711,0.44147447075104707,0.22557940456814735,0.4198001891653911,0.2589278818464494,0.7271411354960597,0.7514970230169156,0.7149805479475722,0.9326947429787826,0.7893255125792177,0.9045303867403316,0.7680154142581889,0.9522282782943252,0.8829913515346787,0.7065281899109792,0.7387772653598471,-0.007424284664340974
231,0.4934407834980504,0.7924914054984228,0.43299237394217316,-0.49469155111553464,0.29477598770345975,0.376466764940752,0.1469698577220971,0.38063663772882084,0.1913103767455074,0.7302051592683878,0.7574678600162416,0.7131011586315424,0.932962362039987,0.7893255125792177,0.9222099447513812,0.7745664739884393,0.876883616543764,0.8829913515346787,0.7062314540059347,0.7411994859020106,-0.008914085162227248
232,0.4897952983589905,0.7910821019000956,0.43962780996931805,-0.4843633138834083,0.26807730945686015,0.4195992997441169,0.15560213391736394,0.37529423615081364,0.190931216088204,0.7333310389464953,0.7632739663415413,0.7113306756471651,0.9333167606148486,0.7893255125792177,0.919779005524862,0.6447013487475916,0.9442128887463932,0.8914702391046295,0.6762611275964392,0.7847994556609523,-0.003275449499727412
233,0.4919767429560704,0.825806529205063,0.4400282762791684,-0.4953092609932021,0.36794171224134414,0.7732620142612157,0.5373769494330011,0.7005931089899046,0.4642323874827222,0.7365187745303682,0.7689153419928147,0.7096690989944445,0.9337579387033677,0.7776318012817477,0.9171270718232044,0.6978805394990366,0.9442128887463932,0.9084280142445312,0.6700296735905045,0.7920661172874427,0.0006594346542647123
234,0.5003285676133027,0.8537511355702574,0.4556975955232944,-0.4140173930760042,0.5749947967223246,0.713511545227881,0.392574212463885,1.0,0.32633008896418797,0.7397683660200134,0.7743919869700622,0.7081164286733762,0.9342858963055442,0.7893255125792177,0.9334806629834256,0.6797687861271676,0.9570375120230844,0.9194505680854672,0.6519287833827894,0.7969105583717695,-0.005175322767971446
235,0.5181549391042937,0.8610007450407181,0.4551419894658525,-0.44054727886244754,0.29745706357815765,0.3110163133499892,0.2641014483889703,0.4017221183910719,0.2120900768295909,0.743079813415438,0.779703901273283,0.7066726646839605,0.9349006334213725,0.7893255125792177,0.9339226519337016,0.6527938342967244,0.9602436678422572,0.916906901814482,0.6486646884272997,0.8041772199982599,-0.011358313374477513
236,0.5045879748189455,0.8759569818027307,0.4545801389184052,-0.33161164167649043,0.40043018255179674,0.507581249606736,0.2593077396039986,0.3319109980654584,0.17132900767223608,0.7464531167166281,0.7848510849024779,0.7053378070262014,0.9356021500508582,0.7893255125792177,0.9303867403314916,0.6651252408477842,0.9602436678422572,0.9135153467865016,0.6454005934718101,0.8114438816247501,-0.013422702003161313
237,0.5206740941369582,0.8829273094929396,0.445749611101352,-0.306606422675809,0.2697680563268417,0.44658685197832104,0.17548642996788724,0.4774191972431253,0.2144285445596384,0.7498882759235975,0.7898335378576464,0.7041118557000947,0.9363904461940014,0.7893255125792177,0.95292817679558,0.7144508670520231,0.9602436678422572,0.9126674580295066,0.6421364985163205,0.8065994405404233,-0.0012908197547379374
238,0.5457870899905448,0.8612927355368304,0.4609828909163349,-0.19519552878397098,0.48996319835501545,0.780663432960168,0.38139141196494947,0.7148409476929285,0.5042059794743795,0.7533852910363323,0.7946512601387887,0.7029948107056427,0.9372655218508019,0.7893255125792177,0.9626519337016576,0.7645472061657033,0.96344982366143,0.916906901814482,0.6388724035608309,0.8138661021669136,0.004026371623180425
